Hours_Studied,Attendance,Final_Score
7,75,92.5
4,29,46.7
5,53,61.9
7,28,74.4
3,34,43.2
5,80,73
5,41,60.3
7,98,103.4
2,41,27.3
3,93,58.9
7,58,84.4
3,30,39
3,77,52.1
5,90,76
4,67,59.1
3,99,54.7
6,47,69.1
5,79,70.7
2,99,53.7
4,40,50
6,32,68.6
6,28,64.4
2,28,30.4
4,80,60
5,49,67.7
1,91,33.3
4,91,70.3
2,51,36.3
6,56,78.8
5,74,68.2
4,85,66.5
1,75,32.5
1,43,20.9
3,45,44.5
3,29,36.7
7,66,85.8
2,85,49.5
4,46,54.8
4,45,55.5
7,94,94.2
6,25,66.5
6,29,63.7
7,36,81.8
6,70,83
3,58,47.4
4,73,60.9
7,69,90.7
4,51,51.3
1,97,34.1
3,50,46
5,71,72.3
3,80,58
7,87,100.1
5,72,67.6
1,85,31.5
7,50,80
2,60,42
4,25,49.5
1,32,21.6
4,76,57.8
6,71,83.3
2,80,47
2,38,29.4
1,52,20.6
2,26,22.8
5,50,62
2,38,30.4
4,83,63.9
4,80,67
7,31,83.3
4,27,44.1
7,47,80.1
4,42,52.6
5,62,71.6
7,39,76.7
3,88,59.4
6,52,78.6
1,98,42.4
4,63,57.9
2,81,47.3
4,41,50.3
2,68,36.4
6,49,74.7
6,41,70.3
6,37,71.1
2,49,31.7
4,92,67.6
6,34,66.2
5,91,73.3
7,42,85.6
2,58,38.4
2,32,26.6
4,64,54.2
2,66,41.8
2,65,39.5
6,30,70
4,76,65.8
6,50,74
7,88,91.4
7,83,98.9
6,80,85
7,83,93.9
4,94,65.2
1,57,30.1
6,77,78.1
5,46,58.8
5,45,58.5
2,94,45.2
7,94,98.2
5,28,62.4
2,99,46.7
1,86,37.8
4,86,69.8
4,48,50.4
4,79,66.7
5,33,56.9
1,27,17.1
5,55,70.5
7,64,91.2
5,60,64
1,48,24.4
1,30,18
7,90,101
1,99,42.7
1,28,17.4
4,30,45
7,75,91.5
3,86,53.8
3,81,55.3
1,90,37
3,99,55.7
3,32,38.6
1,50,26
3,75,53.5
5,69,69.7
2,68,43.4
7,29,76.7
2,94,45.2
1,50,23
4,92,66.6
7,43,82.9
1,44,20.2
4,36,46.8
2,71,39.3
1,25,16.5
7,38,79.4
7,88,93.4
6,62,80.6
5,61,72.3
3,35,38.5
4,27,44.1
6,57,73.1
3,30,34
3,74,50.2
1,34,24.2
3,29,41.7
5,47,65.1
7,34,84.2
6,68,81.4
3,26,38.8
1,37,23.1
5,64,64.2
2,26,31.8
7,89,100.7
7,87,98.1
6,97,87.1
7,41,80.3
3,33,37.9
1,99,39.7
7,39,82.7
7,48,84.4
2,62,33.6
2,59,39.7
4,73,65.9
5,93,78.9
3,86,55.8
7,84,95.2
7,74,91.2
1,99,39.7
4,33,52.9
5,58,71.4
4,59,60.7
6,25,71.5
5,64,71.2
7,88,100.4
7,46,86.8
5,84,79.2
7,88,98.4
3,96,60.8
5,35,55.5
4,38,55.4
5,84,74.2
7,54,84.2
3,59,43.7
3,61,50.3
6,29,65.7
4,50,53
2,86,46.8
2,28,32.4
5,66,72.8
6,42,68.6
1,64,26.2
5,96,76.8
6,63,82.9
4,38,46.4
4,56,57.8
4,75,58.5
4,62,57.6
4,47,49.1
6,87,83.1
6,39,67.7
3,49,39.7
2,41,33.3
7,90,96
4,77,58.1
1,75,32.5
7,63,87.9
6,75,79.5
1,94,39.2
1,30,23
1,91,40.3
3,31,42.3
6,75,85.5
1,96,34.8
4,66,56.8
5,88,77.4
1,39,20.7
3,53,41.9
7,57,84.1
6,51,79.3
3,60,48
1,53,26.9
6,62,81.6
5,81,69.3
1,51,26.3
3,79,55.7
2,57,34.1
4,92,65.6
7,90,101
3,34,40.2
6,29,72.7
1,98,40.4
4,62,56.6
1,37,23.1
6,55,75.5
1,71,26.3
2,76,40.8
4,80,61
4,39,54.7
6,53,77.9
7,32,74.6
2,29,28.7
3,53,48.9
1,71,32.3
5,92,75.6
1,69,25.7
1,26,13.8
3,51,44.3
1,60,27
2,60,40
2,50,35
4,67,62.1
6,51,71.3
7,93,94.9
5,44,63.2
1,35,24.5
1,98,36.4
3,62,48.6
6,30,69
2,96,44.8
5,47,65.1
4,71,57.3
2,70,41
6,36,65.8
7,37,78.1
4,86,61.8
7,84,96.2
3,67,48.1
3,92,59.6
1,29,18.7
7,61,92.3
6,96,86.8
5,55,65.5
4,33,52.9
2,75,43.5
6,53,79.9
6,64,82.2
3,65,50.5
7,35,75.5
1,47,26.1
1,25,15.5
4,70,58
3,45,44.5
6,60,75
5,78,75.4
3,81,54.3
4,25,46.5
4,87,64.1
3,78,55.4
4,79,65.7
3,64,44.2
2,39,34.7
3,45,42.5
7,71,89.3
3,97,59.1
4,77,63.1
7,33,75.9
4,98,71.4
1,76,33.8
1,81,29.3
7,50,84
2,65,39.5
1,59,25.7
3,87,52.1
4,49,52.7
1,99,34.7
1,62,29.6
2,26,23.8
7,31,75.3
7,58,90.4
6,41,71.3
2,67,36.1
3,83,57.9
7,75,95.5
4,78,58.4
2,48,31.4
1,49,22.7
4,95,69.5
4,76,66.8
1,94,36.2
2,57,33.1
1,73,32.9
6,53,75.9
4,87,63.1
5,46,63.8
5,50,65
3,52,44.6
7,73,89.9
1,95,42.5
1,73,26.9
3,44,47.2
3,87,56.1
3,85,51.5
4,73,58.9
6,95,90.5
1,25,21.5
4,37,51.1
3,75,49.5
1,80,35
4,86,63.8
6,56,79.8
4,54,55.2
6,53,72.9
3,73,47.9
6,69,76.7
1,54,23.2
3,40,38
1,64,27.2
5,43,58.9
2,42,36.6
6,25,70.5
2,71,37.3
2,90,50
6,62,78.6
3,75,47.5
5,87,74.1
1,28,13.4
4,25,47.5
1,32,17.6
4,53,52.9
1,79,30.7
6,27,71.1
5,56,66.8
4,34,53.2
7,98,98.4
3,58,43.4
1,79,35.7
1,56,25.8
4,74,58.2
3,31,37.3
3,32,42.6
6,89,84.7
7,81,92.3
6,91,83.3
6,83,84.9
6,96,84.8
6,78,84.4
6,91,84.3
5,75,69.5
3,32,38.6
6,58,74.4
3,59,43.7
3,56,50.8
2,70,44
5,40,58
6,92,83.6
1,61,30.3
4,78,66.4
7,38,82.4
1,79,30.7
5,72,74.6
4,31,46.3
5,98,78.4
3,31,42.3
4,57,54.1
3,47,45.1
1,43,17.9
1,43,20.9
4,60,56
4,53,56.9
6,84,87.2
5,26,52.8
6,25,66.5
5,71,72.3
6,93,85.9
3,44,41.2
4,35,48.5
1,26,17.8
5,91,78.3
5,36,56.8
1,44,22.2
6,29,66.7
5,61,65.3
7,62,89.6
3,33,39.9
4,77,64.1
1,68,29.4
4,48,54.4
7,98,98.4
5,54,67.2
5,83,70.9
7,38,80.4
1,33,19.9
3,64,49.2
2,90,46
1,49,28.7
2,97,50.1
7,46,87.8
6,28,70.4
2,50,36
3,82,53.6
6,53,70.9
2,61,37.3
7,99,103.7
6,94,84.2
7,42,81.6
2,66,38.8
7,65,85.5
3,62,47.6
2,58,35.4
2,41,27.3
2,61,35.3
1,49,19.7
1,51,24.3
1,81,32.3
3,55,47.5
6,30,68
7,64,93.2
5,36,58.8
2,77,39.1
7,95,96.5
2,34,26.2
3,69,52.7
2,41,29.3
1,50,28
5,86,73.8
4,70,61
2,88,50.4
7,26,76.8
1,78,37.4
4,89,61.7
5,75,75.5
4,77,58.1
1,60,30
6,50,78
6,53,78.9
4,45,48.5
3,35,36.5
7,64,84.2
7,35,84.5
4,60,54
2,83,48.9
2,63,40.9
7,78,92.4
7,79,94.7
6,48,70.4
3,46,45.8
1,93,37.9
2,80,46
7,57,82.1
6,60,73
5,44,64.2
6,86,87.8
2,97,46.1
2,50,34
6,90,82
1,97,40.1
4,97,68.1
2,64,41.2
6,41,74.3
7,25,80.5
6,85,86.5
3,67,45.1
4,66,56.8
5,49,66.7
1,63,25.9
5,59,69.7
4,27,43.1
4,68,59.4
4,75,60.5
5,36,59.8
7,43,84.9
4,68,64.4
6,83,82.9
5,73,69.9
4,85,62.5
6,41,73.3
7,98,96.4
3,81,51.3
7,79,97.7
4,71,60.3
5,36,59.8
2,86,45.8
4,32,51.6
2,45,37.5
6,94,88.2
3,96,53.8
1,49,26.7
7,36,82.8
3,39,44.7
4,83,67.9
2,50,31
7,50,81
2,71,38.3
5,56,61.8
2,34,28.2
5,40,60
6,95,91.5
7,41,85.3
7,47,87.1
1,50,29
4,31,50.3
5,38,57.4
1,31,23.3
2,33,28.9
2,72,39.6
1,96,40.8
7,83,90.9
2,63,38.9
6,42,71.6
6,83,80.9
1,41,26.3
5,38,56.4
5,55,68.5
1,48,20.4
5,84,76.2
7,69,93.7
7,27,81.1
5,61,70.3
6,67,84.1
5,64,72.2
7,79,89.7
3,63,48.9
4,39,49.7
2,28,26.4
3,49,43.7
5,37,58.1
6,57,72.1
1,40,24
5,66,68.8
6,90,84
4,79,67.7
5,66,70.8
7,58,88.4
1,54,21.2
6,37,74.1
6,37,67.1
6,42,71.6
4,56,55.8
5,63,70.9
4,70,63
2,53,36.9
2,86,46.8
5,86,75.8
7,81,94.3
4,40,55
1,80,34
6,34,66.2
6,54,72.2
5,49,63.7
7,29,76.7
2,89,42.7
2,73,38.9
6,27,69.1
5,69,72.7
4,38,51.4
2,54,35.2
4,92,62.6
7,42,84.6
2,86,42.8
2,61,38.3
3,49,41.7
2,72,42.6
1,89,37.7
5,77,76.1
5,97,78.1
4,39,53.7
7,73,95.9
2,92,51.6
1,36,22.8
4,83,59.9
3,61,47.3
4,85,62.5
4,67,55.1
2,94,46.2
3,63,50.9
4,80,61
1,87,40.1
1,70,27
5,35,63.5
3,86,59.8
3,49,43.7
5,95,79.5
4,76,58.8
3,28,41.4
1,83,37.9
1,96,36.8
2,44,31.2
3,87,56.1
4,78,67.4
5,98,83.4
5,81,78.3
4,65,59.5
7,27,73.1
6,30,72
2,29,24.7
5,29,57.7
3,78,56.4
2,71,39.3
3,73,48.9
7,33,80.9
1,44,23.2
2,85,47.5
5,59,64.7
2,74,41.2
2,86,49.8
2,41,30.3
6,27,66.1
2,56,34.8
3,37,45.1
1,97,41.1
7,92,97.6
4,38,48.4
2,35,34.5
5,80,73
2,91,47.3
5,53,64.9
3,33,39.9
5,91,79.3
4,49,55.7
1,66,28.8
5,33,63.9
5,64,69.2
1,49,22.7
4,29,51.7
2,35,28.5
5,83,69.9
1,62,29.6
3,96,59.8
1,29,16.7
3,72,48.6
4,42,54.6
2,94,47.2
1,61,32.3
7,84,96.2
7,72,89.6
6,52,73.6
5,93,79.9
4,64,61.2
1,69,26.7
7,86,91.8
5,82,71.6
7,91,94.3
1,80,29
3,64,46.2
1,64,29.2
6,57,79.1
